PDNetSlice.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tpro
../test/01_Fib.iii,39,7,18,14,21,83053,2.356000,0.737000,10519.391000,false,NULL
../test/01_Fib.iii,14,2,7,5,8,20,2.208000,0.338000,8.032000,false,NULL
../test/02_Lamport.iii,97,6,49,42,64,575,4.094000,1.751000,35.672000,true,NULL
../test/02_Lamport.iii,80,5,39,36,53,28,4.171000,1.480000,7.614000,false,NULL
../test/03_Dekker.iii,67,5,36,26,42,101,3.141000,1.297000,11.335000,true,NULL
../test/03_Dekker.iii,59,5,30,24,37,101,3.110000,1.019000,11.157000,true,NULL
../test/04_Szymanski.iii,78,4,42,32,54,301,4.023000,1.429000,20.402000,true,NULL
../test/04_Szymanski.iii,70,4,36,30,49,87,4.036000,1.329000,9.820000,false,NULL
../test/05_Peterson.iii,59,5,32,22,36,101,2.530000,1.182000,11.858000,true,NULL
../test/05_Peterson.iii,51,5,26,20,31,101,2.582000,0.812000,11.425000,true,NULL
../test/06_Sync.iii,57,2,35,20,31,57,1.802000,0.773000,8.356000,true,NULL
../test/06_Sync.iii,54,2,33,19,29,57,2.014000,0.738000,8.647000,true,NULL
../test/07_Datarace.iii,60,6,33,21,33,84310,3.070000,0.920000,6883.679000,true,NULL
../test/07_Datarace.iii,55,6,29,20,30,262,3.168000,0.976000,15.180000,false,NULL
../test/08_Rwlock.iii,95,11,55,29,51,276,2.935000,1.679000,34.020000,true,NULL
../test/08_Rwlock.iii,90,11,51,28,48,276,3.129000,1.338000,34.773000,true,NULL
../test/09_Varmutex.iii,79,7,48,24,46,276,4.458000,1.760000,27.410000,true,NULL
../test/09_Varmutex.iii,75,7,44,24,43,297,4.529000,2.098000,30.561000,true,NULL
../test/10_Lazy.iii,49,3,29,17,28,63,1.713000,0.797000,8.635000,false,NULL
../test/10_Lazy.iii,44,3,25,16,25,31,1.731000,0.692000,7.346000,false,NULL
